# Event_ID q2 Psi_EP
14 3.032337 1.271085 
16 2.339389 -1.5324 
18 1.576864 0.947553 
19 4.781847 -1.410953 
20 3.80943 -0.318395 
21 1.449628 0.397286 
23 3.1299 0.001197 
25 1.124709 1.36217 
26 0.882089 1.178507 
27 2.058092 1.406875 
27 3.156197 0.361403 
28 5.094346 0.864742 
28 2.259791 1.529628 
29 1.786404 -0.413754 
32 3.53308 0.99101 
34 3.176826 1.298902 
35 2.31157 -0.440679 
38 1.971299 0.562578 
40 5.151544 0.008148 
40 3.034109 -0.688306 
41 2.628605 -0.888148 
45 5.231755 0.438463 
46 1.382375 1.523584 
54 2.004082 -1.300029 
55 2.09349 -1.446527 
57 4.270081 0.127644 
57 3.212075 1.494524 
58 5.305753 -0.006837 
61 2.726606 -0.447101 
63 3.876498 -1.370495 
64 3.05011 -0.941842 
67 4.339546 -1.178017 
70 2.070415 0.255023 
72 1.159436 1.303009 
77 3.06773 -1.339568 
78 6.126303 -1.099645 
80 3.089927 -0.919122 
82 3.1066 0.262103 
83 3.027083 0.307136 
90 0.850427 -0.582588 
93 3.605156 0.145791 
96 4.773297 -1.017985 
103 3.353012 -1.399245 
104 2.898735 0.390026 
105 4.143175 -0.354547 
105 3.024954 0.911129 
106 2.757883 -0.260211 
107 0.227985 -1.205646 
109 0.680981 0.526531 
113 3.764275 -0.297229 
114 2.976894 -1.126414 
120 3.416249 0.388109 
120 2.571226 -0.91799 
123 1.018363 0.968537 
124 4.356148 -1.060411 
127 3.454405 -1.272355 
128 4.597614 -1.260456 
130 2.685587 0.621388 
132 4.686245 0.88324 
133 1.774522 -1.159823 
135 5.668315 0.47825 
135 2.357917 -1.019571 
136 1.14926 0.522155 
140 3.236269 -0.836732 
142 2.971802 0.30729 
143 3.666177 1.033755 
149 5.323766 -0.938391 
149 3.674734 0.440098 
150 4.876856 0.625074 
156 0.993233 0.535752 
161 4.911705 -1.536852 
162 1.64868 -0.947757 
162 1.635122 -0.987354 
166 1.402431 -0.888325 
169 2.383508 -0.884445 
173 3.680623 0.738776 
174 3.463274 -0.712381 
177 2.441483 -0.402905 
181 4.967972 1.207464 
186 2.464387 0.794187 
187 4.221001 -0.197902 
189 5.516192 -0.209652 
192 2.898924 -0.954664 
196 4.262255 -0.033286 
198 1.324444 -0.833763 
199 2.789271 -0.273772 
202 3.394915 -0.628921 
203 1.732823 -1.439033 
204 4.029116 -0.029576 
206 2.293982 -0.508786 
209 3.416339 1.497727 
210 1.049441 0.023389 
211 3.957771 -0.487298 
212 3.825823 0.798022 
215 2.79301 -1.179667 
217 3.531932 1.396255 
224 2.304807 0.348719 
225 3.48993 0.664599 
226 3.211989 0.353662 
227 3.511519 -1.157018 
228 3.930574 -1.240927 
234 0.287472 -0.459348 
235 1.912169 0.825265 
236 2.649762 -0.988685 
238 1.965557 -1.529579 
240 3.422338 1.256547 
242 3.154687 -0.579211 
243 3.764318 1.20064 
245 2.566962 1.34474 
245 1.897689 -0.857766 
247 3.586255 -0.174089 
247 2.865389 -0.826566 
248 4.028525 1.263811 
249 2.21303 1.266907 
251 3.55036 0.397836 
255 3.771399 0.767121 
256 4.834416 -1.128746 
256 1.245836 0.945944 
259 3.891052 1.481468 
265 1.538804 -0.297032 
268 2.349713 0.582725 
274 2.623983 -0.18862 
280 3.709594 -0.669675 
283 3.027199 -0.907067 
284 3.569185 0.067471 
291 2.846804 1.343762 
292 0.542629 0.432447 
292 3.78998 0.364673 
294 4.123448 -1.270139 
295 2.876191 -0.608406 
299 1.899417 -1.170946 
301 1.896513 0.508075 
302 4.759121 1.104836 
