# Event_ID    q2    Psi_EP
14 3.032337 1.271085
16 2.339389 -1.532400
18 1.576864 0.947553
19 4.781847 -1.410953
20 3.809430 -0.318395
21 1.449628 0.397286
23 3.129900 0.001197
25 1.124709 1.362170
27 3.156197 0.361403
28 5.094346 0.864742
29 1.786404 -0.413754
40 3.034109 -0.688306
45 5.231755 0.438463
54 2.004082 -1.300029
55 2.093490 -1.446527
57 4.270081 0.127644
58 5.305753 -0.006837
64 3.050110 -0.941842
70 2.070415 0.255023
72 1.159436 1.303009
80 3.089927 -0.919122
82 3.106600 0.262103
83 3.027083 0.307136
93 3.605156 0.145791
103 3.353012 -1.399245
105 4.143175 -0.354547
107 0.227985 -1.205646
113 3.764275 -0.297229
114 2.976894 -1.126414
120 3.416249 0.388109
124 4.356148 -1.060411
127 3.454405 -1.272355
130 2.685587 0.621388
132 4.686245 0.883240
135 2.357917 -1.019571
136 1.149260 0.522155
140 3.236269 -0.836732
143 3.666177 1.033755
149 3.674734 0.440098
150 4.876856 0.625074
156 0.993233 0.535752
162 1.648680 -0.947757
173 3.680623 0.738776
187 4.221001 -0.197902
192 2.898924 -0.954664
196 4.262255 -0.033286
198 1.324444 -0.833763
199 2.789271 -0.273772
202 3.394915 -0.628921
211 3.957771 -0.487298
225 3.489930 0.664599
226 3.211989 0.353662
227 3.511519 -1.157018
228 3.930574 -1.240927
235 1.912169 0.825265
238 1.965557 -1.529579
245 2.566962 1.344740
247 2.865389 -0.826566
248 4.028525 1.263811
251 3.550360 0.397836
256 1.245836 0.945944
259 3.891052 1.481468
268 2.349713 0.582725
284 3.569185 0.067471
292 3.789980 0.364673
294 4.123448 -1.270139
299 1.899417 -1.170946
301 1.896513 0.508075
303 2.365854 1.301304
305 2.796183 -0.317040
308 1.915146 -0.109235
314 3.275022 -0.869417
324 3.627629 0.092310
326 2.134787 -0.075106
328 2.082443 0.240859
334 2.732804 -0.371650
341 0.865441 -1.203476
342 3.113898 0.578254
343 2.726109 -1.342019
354 2.050038 0.723949
358 2.030552 -0.104163
365 6.330859 -0.769768
379 3.157917 -1.536058
381 3.643307 -0.164532
391 2.518424 -0.431506
400 2.261863 -0.147711
405 1.473219 -0.821347
408 2.632430 1.375343
412 2.247455 -1.407531
414 4.993022 -1.444316
420 1.966502 -0.721542
427 2.118266 0.191105
438 2.629246 -1.450918
462 1.868664 -0.897634
476 2.916565 1.191731
477 0.715040 -1.189277
479 1.852225 0.196138
484 3.108058 1.441442
492 2.036982 -0.879201
493 3.012686 -1.057862
495 2.535451 1.039398
502 3.370953 -1.448209
507 3.854862 0.395734
508 2.984571 -0.054271
512 1.983854 1.065742
513 1.657617 -1.047394
518 5.043928 1.500531
519 4.755423 0.395669
520 2.747627 0.369300
524 3.469544 -1.264233
526 1.957283 0.011301
528 3.134957 0.147951
534 3.544137 0.319496
535 1.270105 0.402615
550 1.787987 -0.031900
556 4.059377 -1.477708
569 5.276661 1.204816
575 4.256610 -0.583275
578 3.839769 -0.764169
586 1.315219 -1.124721
591 2.860890 1.311424
596 2.443224 0.915149
600 1.647437 0.788310
601 1.895272 -1.335919
602 2.839316 1.238430
613 1.977791 -0.633426
619 3.300370 -0.255081
622 3.515374 1.037394
625 3.073865 -1.382174
628 1.622081 1.274145
632 6.378691 -0.233390
649 1.798633 1.378657
651 1.328967 -0.881753
653 3.818614 0.574165
657 1.786508 1.534586
664 1.531221 1.307576
665 3.288170 1.384240
667 4.344345 -1.111183
672 1.484273 -1.014387
675 2.336475 -1.061030
677 4.366204 0.421693
678 3.206329 -1.445715
683 3.377395 -1.368096
685 5.710836 0.668045
690 0.994642 0.157878
701 2.929996 -0.447437
703 2.065718 0.948936
708 5.169629 0.442796
714 4.878754 0.074434
716 4.755526 0.663219
728 3.957590 -1.260570
732 4.020023 -0.177135
741 2.175202 1.159138
743 1.722740 -0.807553
756 2.270680 -1.179730
763 2.469582 -0.820461
777 1.288048 -1.383655
784 4.026964 0.547973
785 3.348521 1.092065
789 1.807383 -1.226040
795 1.907313 -0.576308
798 3.212470 1.032602
803 4.550984 -1.399436
804 2.780747 0.348656
817 4.977449 -1.129091
819 2.317918 -1.404752
821 4.411237 0.026787
828 4.965979 0.574248
830 1.608549 -1.088669
833 4.297318 -1.314859
834 0.665588 0.066307
836 2.414289 -1.482598
839 3.407990 0.784573
844 3.424477 -0.106031
851 3.108413 1.233151
864 4.239419 1.391864
881 2.895422 0.222252
885 3.283891 0.715071
888 2.915577 0.553842
896 4.775708 -0.220101
900 1.445960 1.042470
906 3.227020 0.298594
907 1.094959 0.027546
910 3.150647 0.867043
912 2.734357 1.145368
916 4.184441 -0.311113
919 4.712274 1.371039
924 5.386726 -0.542893
946 1.317196 0.457358
951 4.657847 -1.035837
952 4.203026 -0.085683
958 2.151942 0.933575
961 3.703301 -0.928984
967 3.520855 -0.091028
975 2.824477 -0.534865
981 2.628275 -0.950233
984 3.885916 -1.081784
990 3.569609 0.777256
994 2.507777 -1.079788
995 4.070122 -0.150253
