# Event_ID    q2    Psi_EP
0 nan nan
1 nan nan
2 nan nan
3 nan nan
4 nan nan
5 nan nan
6 nan nan
7 nan nan
8 nan nan
9 nan nan
10 nan nan
11 nan nan
12 nan nan
13 nan nan
14 3.032337 1.271085
15 nan nan
16 2.339389 -1.532400
17 nan nan
18 1.576864 0.947553
19 4.781847 -1.410953
20 3.809430 -0.318395
21 1.449628 0.397286
22 nan nan
23 3.129900 0.001197
24 nan nan
25 1.124709 1.362170
26 nan nan
27 3.156197 0.361403
28 5.094346 0.864742
29 1.786404 -0.413754
30 nan nan
31 nan nan
32 nan nan
33 nan nan
34 nan nan
35 nan nan
36 nan nan
37 nan nan
38 nan nan
39 nan nan
40 3.034109 -0.688306
41 nan nan
42 nan nan
43 nan nan
44 nan nan
45 5.231755 0.438463
46 nan nan
47 nan nan
48 nan nan
49 nan nan
50 nan nan
51 nan nan
52 nan nan
53 nan nan
54 2.004082 -1.300029
55 2.093490 -1.446527
56 nan nan
57 4.270081 0.127644
58 5.305753 -0.006837
59 nan nan
60 nan nan
61 nan nan
62 nan nan
63 nan nan
64 3.050110 -0.941842
65 nan nan
66 nan nan
67 nan nan
68 nan nan
69 nan nan
70 2.070415 0.255023
71 nan nan
72 1.159436 1.303009
73 nan nan
74 nan nan
75 nan nan
76 nan nan
77 nan nan
78 nan nan
79 nan nan
80 3.089927 -0.919122
81 nan nan
82 3.106600 0.262103
83 3.027083 0.307136
84 nan nan
85 nan nan
86 nan nan
87 nan nan
88 nan nan
89 nan nan
90 nan nan
91 nan nan
92 nan nan
93 3.605156 0.145791
94 nan nan
95 nan nan
96 nan nan
97 nan nan
98 nan nan
99 nan nan
100 nan nan
101 nan nan
102 nan nan
103 3.353012 -1.399245
104 nan nan
105 4.143175 -0.354547
106 nan nan
107 0.227985 -1.205646
108 nan nan
109 nan nan
110 nan nan
111 nan nan
112 nan nan
113 3.764275 -0.297229
114 2.976894 -1.126414
115 nan nan
116 nan nan
117 nan nan
118 nan nan
119 nan nan
120 3.416249 0.388109
121 nan nan
122 nan nan
123 nan nan
124 4.356148 -1.060411
125 nan nan
126 nan nan
127 3.454405 -1.272355
128 nan nan
129 nan nan
130 2.685587 0.621388
131 nan nan
132 4.686245 0.883240
133 nan nan
134 nan nan
135 2.357917 -1.019571
136 1.149260 0.522155
137 nan nan
138 nan nan
139 nan nan
140 3.236269 -0.836732
141 nan nan
142 nan nan
143 3.666177 1.033755
144 nan nan
145 nan nan
146 nan nan
147 nan nan
148 nan nan
149 3.674734 0.440098
150 4.876856 0.625074
151 nan nan
152 nan nan
153 nan nan
154 nan nan
155 nan nan
156 0.993233 0.535752
157 nan nan
158 nan nan
159 nan nan
160 nan nan
161 nan nan
162 1.648680 -0.947757
163 nan nan
164 nan nan
165 nan nan
166 nan nan
167 nan nan
168 nan nan
169 nan nan
170 nan nan
171 nan nan
172 nan nan
173 3.680623 0.738776
174 nan nan
175 nan nan
176 nan nan
177 nan nan
178 nan nan
179 nan nan
180 nan nan
181 nan nan
182 nan nan
183 nan nan
184 nan nan
185 nan nan
186 nan nan
187 4.221001 -0.197902
188 nan nan
189 nan nan
190 nan nan
191 nan nan
192 2.898924 -0.954664
193 nan nan
194 nan nan
195 nan nan
196 4.262255 -0.033286
197 nan nan
198 1.324444 -0.833763
199 2.789271 -0.273772
200 nan nan
201 nan nan
202 3.394915 -0.628921
203 nan nan
204 nan nan
205 nan nan
206 nan nan
207 nan nan
208 nan nan
209 nan nan
210 nan nan
211 3.957771 -0.487298
212 nan nan
213 nan nan
214 nan nan
215 nan nan
216 nan nan
217 nan nan
218 nan nan
219 nan nan
220 nan nan
221 nan nan
222 nan nan
223 nan nan
224 nan nan
225 3.489930 0.664599
226 3.211989 0.353662
227 3.511519 -1.157018
228 3.930574 -1.240927
229 nan nan
230 nan nan
231 nan nan
232 nan nan
233 nan nan
234 nan nan
235 1.912169 0.825265
236 nan nan
237 nan nan
238 1.965557 -1.529579
239 nan nan
240 nan nan
241 nan nan
242 nan nan
243 nan nan
244 nan nan
245 2.566962 1.344740
246 nan nan
247 2.865389 -0.826566
248 4.028525 1.263811
249 nan nan
250 nan nan
251 3.550360 0.397836
252 nan nan
253 nan nan
254 nan nan
255 nan nan
256 1.245836 0.945944
257 nan nan
258 nan nan
