Event_ID epsilon2 phi2
14 0.304250 -0.213349
16 0.515206 0.303967
18 0.305365 -0.390420
19 0.451706 -0.009927
20 0.480677 1.519780
21 0.331740 -1.257540
23 0.397880 1.431390
25 0.251800 -0.173726
27 0.553446 -1.258670
28 0.448708 -0.726004
29 0.421695 -1.468080
40 0.592144 1.063100
45 0.750484 -1.255160
54 0.367985 0.159815
55 0.315447 0.207660
57 0.531160 -1.411800
58 0.488007 1.535450
64 0.493599 0.642834
70 0.443514 -1.197090
72 0.296784 -0.059085
80 0.464015 0.750574
82 0.484167 -1.086810
83 0.400332 -1.255840
93 0.476080 1.534500
103 0.392688 0.108370
105 0.459737 1.230950
107 0.255145 -1.432800
113 0.615189 1.486560
114 0.448642 0.361288
120 0.339026 -1.329050
124 0.387317 0.632010
127 0.498952 0.144631
130 0.470680 -0.742746
132 0.503047 -0.745183
135 0.344174 0.215104
136 0.194967 -1.047520
140 0.362899 0.665760
143 0.423053 -0.454929
149 0.479755 -1.179210
150 0.681754 -0.828932
156 0.256238 -0.702154
162 0.585917 0.474005
173 0.389898 -0.711185
187 0.616750 1.346510
192 0.452590 0.787933
196 0.484999 1.525160
198 0.280696 0.594643
199 0.347373 1.004980
202 0.503306 0.897625
211 0.342295 1.025230
225 0.584779 -0.915562
226 0.525884 -1.420640
227 0.531262 0.156614
228 0.594991 0.093573
235 0.272408 -0.390284
238 0.241919 -0.074510
245 0.391483 -0.146252
247 0.412452 0.773171
248 0.615116 -0.207089
251 0.520642 -1.252960
256 0.405507 -0.640337
259 0.536561 -0.168172
268 0.350693 -0.960958
284 0.343481 -1.244710
292 0.393392 -1.226230
294 0.491308 0.237663
299 0.349544 0.319307
301 0.344443 -0.871852
303 0.588346 -0.045430
305 0.419466 1.220710
308 0.364258 1.221330
314 0.450298 0.728842
324 0.530703 -1.455430
326 0.436537 1.381370
328 0.537438 -1.411800
334 0.418202 1.340780
341 0.170540 0.427425
342 0.361588 -0.897483
343 0.407567 0.311936
354 0.568230 -0.741022
358 0.482339 1.237230
365 0.552068 0.763701
379 0.458444 0.037322
381 0.340418 1.483450
391 0.535346 1.344710
400 0.534215 -1.486830
405 0.196119 1.350670
408 0.462713 -0.350032
412 0.141316 -0.575731
414 0.444814 0.179066
420 0.421670 0.686013
427 0.638193 1.560670
438 0.630847 0.281415
462 0.477430 0.766146
476 0.482826 -0.022488
477 0.354906 0.534001
479 0.510530 -1.250210
484 0.378324 0.136556
492 0.390804 0.867563
493 0.529521 0.452947
495 0.444817 -0.668676
502 0.574995 0.258001
507 0.475487 -1.132110
508 0.343585 1.450270
512 0.542925 -0.727855
513 0.390610 0.986737
518 0.503251 -0.150565
519 0.655493 -1.305720
520 0.401947 -1.022360
524 0.722766 0.405040
526 0.494330 1.562230
528 0.525180 -1.260020
534 0.589128 -1.267830
535 0.388745 -1.293140
550 0.618319 -1.472580
556 0.595301 0.134090
569 0.583774 -0.298470
575 0.716462 0.932882
578 0.766209 0.863498
586 0.277568 0.525983
591 0.522538 -0.334623
596 0.386739 -0.444151
600 0.333062 -1.117540
601 0.319813 0.388153
602 0.307407 -0.335504
613 0.189175 0.942018
619 0.469819 1.384000
622 0.510971 -0.386979
625 0.576135 0.190115
628 0.318429 -0.116350
632 0.583777 1.330170
649 0.348232 -0.116630
651 0.409388 1.338230
653 0.457063 -0.847469
657 0.386865 0.355018
664 0.207709 0.150303
665 0.380945 -0.053093
667 0.557578 0.683844
672 0.293609 0.499007
675 0.225783 0.621860
677 0.581743 -1.216790
678 0.550470 0.163299
683 0.494237 -0.038686
685 0.669493 -0.825992
690 0.137721 -1.149230
701 0.513542 0.998716
703 0.502674 -0.608019
708 0.678589 -1.081750
714 0.491649 -1.533600
716 0.682099 -0.937167
728 0.447761 0.382126
732 0.486149 1.472630
741 0.321040 -0.429157
743 0.251478 0.518027
756 0.523441 0.140994
763 0.395007 0.867171
777 0.393584 0.495192
784 0.622027 -0.850553
785 0.504420 -0.415681
789 0.362142 0.112125
795 0.363972 1.291430
798 0.352869 -0.505436
803 0.617241 0.177469
804 0.564376 -1.313260
817 0.764344 0.552482
819 0.580625 0.384922
821 0.401154 -1.436640
828 0.592267 -0.967356
830 0.239313 0.141828
833 0.526467 0.472517
834 0.101517 1.066120
836 0.346131 -0.029042
839 0.389957 -0.635947
844 0.359857 -1.367120
851 0.406635 -0.146248
864 0.601127 -0.076059
881 0.549766 -1.252090
885 0.439094 -1.008350
888 0.557208 -1.090270
896 0.507727 1.291750
900 0.288288 -0.935626
906 0.276006 -0.964523
907 0.221270 1.238010
910 0.741670 -0.447388
912 0.627378 -0.454149
916 0.397715 1.254900
919 0.485554 -0.221862
924 0.516182 1.121260
946 0.397311 -1.550890
951 0.471624 0.492440
952 0.329502 1.114520
958 0.289897 -0.711155
961 0.237411 0.715850
967 0.473597 1.432960
975 0.409017 0.897853
981 0.685687 0.695550
984 0.485288 0.486981
990 0.431175 -0.791708
994 0.394190 0.504648
995 0.676508 1.311130
