# Event_ID epsilon2 phi2
26 0.245193 -0.752799
27 0.330525 0.435956
28 0.495389 -0.118437
32 0.649282 -0.433596
34 0.444068 -0.263647
35 0.411783 1.094950
38 0.214696 -0.885737
40 0.650511 1.452290
41 0.388001 0.713345
46 0.157981 -0.303303
57 0.396751 0.055451
61 0.287513 1.070210
63 0.564112 0.262240
67 0.479170 0.372879
77 0.476711 0.154197
78 0.569718 0.394979
90 0.414791 1.016430
96 0.475783 0.491531
104 0.415660 -1.199060
105 0.438811 -0.719553
106 0.475907 1.179760
109 0.311880 1.357400
120 0.410645 0.839015
123 0.235698 -0.479207
128 0.476041 0.288434
133 0.217339 0.380587
135 0.424845 -0.978637
142 0.415542 -1.226200
149 0.690386 0.580761
161 0.590624 0.027530
162 0.279622 0.850569
166 0.292897 0.403934
169 0.314027 0.837488
174 0.311616 1.215990
177 0.406417 1.021490
181 0.545648 -0.197058
186 0.398921 -0.658790
189 0.592773 1.388160
203 0.408486 0.551256
204 0.549296 1.537640
206 0.238866 1.393410
209 0.388721 -0.171911
210 0.543865 -1.141850
212 0.322697 -0.858760
215 0.459326 0.558336
217 0.654200 0.033289
224 0.472051 -1.302890
234 0.203294 0.542886
236 0.433699 0.620303
240 0.513734 -0.300154
242 0.460908 0.959687
243 0.570197 -0.422641
245 0.158063 0.368345
247 0.636084 1.266610
249 0.466963 -0.163557
255 0.352976 -0.808465
256 0.674392 0.606411
265 0.322796 1.362200
274 0.383174 1.403200
280 0.559159 0.917500
283 0.396021 0.632764
291 0.435316 0.111044
292 0.219294 -1.186320
295 0.579817 0.968526
302 0.361871 -0.384407
303 0.675166 -0.308168
304 0.505557 0.550221
312 0.358150 -0.796727
317 0.518161 -0.132901
334 0.709950 1.560170
341 0.520547 -1.365720
352 0.131046 -1.326040
353 0.559302 1.171750
366 0.602713 0.227138
367 0.515036 0.970257
376 0.563276 -0.526238
377 0.600271 -0.972580
379 0.177704 0.307578
381 0.472524 1.158690
382 0.234637 0.735921
391 0.605182 -0.293775
394 0.438192 -0.360328
403 0.563760 1.540540
404 0.611933 0.470402
406 0.565831 -0.194027
420 0.618229 1.396070
421 0.529725 -0.094296
426 0.446685 0.176438
427 0.558105 0.790041
436 0.654050 -0.069079
440 0.125144 -1.272600
441 0.480699 -0.484728
444 0.419755 -0.325090
447 0.571842 1.200600
449 0.496232 -1.341360
461 0.414182 -1.039730
475 0.527012 0.235304
490 0.687410 1.442080
493 0.143029 1.074320
498 0.495770 -0.607441
499 0.679767 -0.935112
501 0.571053 -1.244080
509 0.407776 -0.545104
515 0.344704 0.220719
524 0.399879 -1.192650
534 0.507746 0.104423
536 0.651704 -0.609384
575 0.553316 -1.426870
578 0.220848 -0.261548
579 0.400790 -1.107050
581 0.640622 0.005980
583 0.507981 0.738693
586 0.597151 -0.766510
590 0.530742 -0.586958
595 0.165511 1.146820
604 0.530531 -0.477066
607 0.466891 1.460570
616 0.559791 0.990936
617 0.435974 -0.658900
627 0.552544 1.021690
636 0.304131 0.457811
639 0.472949 0.000081
646 0.561411 -0.925973
652 0.415683 0.279361
657 0.172395 -1.295920
665 0.299279 1.119190
669 0.313953 -1.461480
673 0.442771 -0.395636
674 0.541261 0.960872
689 0.667983 -0.188767
693 0.370749 1.420860
694 0.481682 1.052190
696 0.303830 -1.139770
701 0.360254 0.374521
714 0.645581 1.181860
715 0.202164 -1.117010
717 0.493757 0.117298
718 0.322178 -0.637190
719 0.570257 -1.055750
727 0.406080 1.244760
731 0.437095 -1.501530
732 0.742286 1.108550
739 0.574967 0.454380
743 0.595482 0.552087
745 0.578286 -1.026010
747 0.693831 0.464387
755 0.544456 -1.463600
758 0.581516 -0.834859
760 0.633284 0.629487
764 0.476608 1.142850
777 0.470778 0.246366
778 0.074574 1.328600
793 0.408411 1.421970
801 0.474034 0.439209
