# Event_ID q2 Psi_EP epsilon2 phi2
14 3.032337 1.271085 0.304250 -0.213349
16 2.339389 -1.532400 0.515206 0.303967
18 1.576864 0.947553 0.305365 -0.390420
19 4.781847 -1.410953 0.451706 -0.009927
20 3.809430 -0.318395 0.480677 1.519780
21 1.449628 0.397286 0.331740 -1.257540
23 3.129900 0.001197 0.397880 1.431390
25 1.124709 1.362170 0.251800 -0.173726
26 0.882089 1.178507 0.245193 -0.752799
27 3.156197 0.361403 0.330525 0.435956
28 2.259791 1.529628 0.495389 -0.118437
29 1.786404 -0.413754 0.421695 -1.468080
32 3.533080 0.991010 0.649282 -0.433596
34 3.176826 1.298902 0.444068 -0.263647
35 2.311570 -0.440679 0.411783 1.094950
38 1.971299 0.562578 0.214696 -0.885737
40 3.034109 -0.688306 0.650511 1.452290
41 2.628605 -0.888148 0.388001 0.713345
45 5.231755 0.438463 0.750484 -1.255160
46 1.382375 1.523584 0.157981 -0.303303
54 2.004082 -1.300029 0.367985 0.159815
55 2.093490 -1.446527 0.315447 0.207660
57 3.212075 1.494524 0.396751 0.055451
58 5.305753 -0.006837 0.488007 1.535450
61 2.726606 -0.447101 0.287513 1.070210
63 3.876498 -1.370495 0.564112 0.262240
64 3.050110 -0.941842 0.493599 0.642834
67 4.339546 -1.178017 0.479170 0.372879
70 2.070415 0.255023 0.443514 -1.197090
72 1.159436 1.303009 0.296784 -0.059085
77 3.067730 -1.339568 0.476711 0.154197
78 6.126303 -1.099645 0.569718 0.394979
80 3.089927 -0.919122 0.464015 0.750574
82 3.106600 0.262103 0.484167 -1.086810
83 3.027083 0.307136 0.400332 -1.255840
90 0.850427 -0.582588 0.414791 1.016430
93 3.605156 0.145791 0.476080 1.534500
96 4.773297 -1.017985 0.475783 0.491531
103 3.353012 -1.399245 0.392688 0.108370
104 2.898735 0.390026 0.415660 -1.199060
105 3.024954 0.911129 0.438811 -0.719553
106 2.757883 -0.260211 0.475907 1.179760
107 0.227985 -1.205646 0.255145 -1.432800
109 0.680981 0.526531 0.311880 1.357400
113 3.764275 -0.297229 0.615189 1.486560
114 2.976894 -1.126414 0.448642 0.361288
120 2.571226 -0.917990 0.410645 0.839015
123 1.018363 0.968537 0.235698 -0.479207
124 4.356148 -1.060411 0.387317 0.632010
127 3.454405 -1.272355 0.498952 0.144631
128 4.597614 -1.260456 0.476041 0.288434
130 2.685587 0.621388 0.470680 -0.742746
132 4.686245 0.883240 0.503047 -0.745183
133 1.774522 -1.159823 0.217339 0.380587
135 2.357917 -1.019571 0.424845 -0.978637
136 1.149260 0.522155 0.194967 -1.047520
140 3.236269 -0.836732 0.362899 0.665760
142 2.971802 0.307290 0.415542 -1.226200
143 3.666177 1.033755 0.423053 -0.454929
149 3.674734 0.440098 0.690386 0.580761
150 4.876856 0.625074 0.681754 -0.828932
156 0.993233 0.535752 0.256238 -0.702154
161 4.911705 -1.536852 0.590624 0.027530
162 1.635122 -0.987354 0.279622 0.850569
166 1.402431 -0.888325 0.292897 0.403934
169 2.383508 -0.884445 0.314027 0.837488
173 3.680623 0.738776 0.389898 -0.711185
174 3.463274 -0.712381 0.311616 1.215990
177 2.441483 -0.402905 0.406417 1.021490
181 4.967972 1.207464 0.545648 -0.197058
186 2.464387 0.794187 0.398921 -0.658790
187 4.221001 -0.197902 0.616750 1.346510
189 5.516192 -0.209652 0.592773 1.388160
192 2.898924 -0.954664 0.452590 0.787933
196 4.262255 -0.033286 0.484999 1.525160
198 1.324444 -0.833763 0.280696 0.594643
199 2.789271 -0.273772 0.347373 1.004980
202 3.394915 -0.628921 0.503306 0.897625
203 1.732823 -1.439033 0.408486 0.551256
204 4.029116 -0.029576 0.549296 1.537640
206 2.293982 -0.508786 0.238866 1.393410
209 3.416339 1.497727 0.388721 -0.171911
210 1.049441 0.023389 0.543865 -1.141850
211 3.957771 -0.487298 0.342295 1.025230
212 3.825823 0.798022 0.322697 -0.858760
215 2.793010 -1.179667 0.459326 0.558336
217 3.531932 1.396255 0.654200 0.033289
224 2.304807 0.348719 0.472051 -1.302890
225 3.489930 0.664599 0.584779 -0.915562
